"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAR035W",1941.18929431101,-4.48254174224963,0.631208831330126,-7.10151937006921,1.23392712435767e-12,1.16957496472643e-11
"YMR250W",2923.7682605289,-4.47456134741176,0.497606930294524,-8.99216042823872,2.42417528825266e-19,5.85586646634871e-18
"YDR379C-A",343.765544420853,-4.47194456096133,0.548750305746443,-8.14932495550655,3.65961338343363e-16,5.9184425480671e-15
"YGL205W",3521.6998222098,-4.46527236160068,0.6482287122114,-6.8884211351386,5.64149944622816e-12,4.8096413638071e-11
"YOL052C-A",4046.8325389288,-4.46454850146252,0.664301569616688,-6.72066529067308,1.80896697513938e-11,1.44238662014943e-10
"YDR070C",1677.73825600826,-4.45667513143428,1.56195669243209,-2.85326421214336,0.00432726271145207,0.00935911561128187
"YPL054W",319.053146971514,-4.45573630527657,0.659705121575668,-6.75413326280429,1.4369163401061e-11,1.163556725192e-10
"YLL026W",19697.8265288544,-4.45433676367286,0.499907592282823,-8.91032029206073,5.08853461310993e-19,1.18905553714508e-17
"YNL194C",2106.77553056676,-4.44991332325542,0.462090479103646,-9.62996106712104,5.97521136554697e-22,2.07321727683372e-20
"YDR256C",5145.2854969974,-4.44842165290755,0.744254140713484,-5.97701968932688,2.27256741384914e-09,1.31021635894122e-08
"YCR021C",60680.4015732278,-4.4482884582488,0.424073013696411,-10.4894400600395,9.65991522016163e-26,5.64316475871687e-24
"YKR009C",2181.50844988354,-4.4403397638678,0.695095561968586,-6.38809971868081,1.67959805115683e-10,1.16695374306709e-09
"YLR174W",1447.14741920393,-4.43318980681314,0.451671849751829,-9.81506775161868,9.69728267928324e-23,3.75114482019571e-21
"YEL011W",3241.79063135071,-4.42244763056541,0.442988907608476,-9.98320173396774,1.80545000086614e-23,7.77157989094636e-22
"YML042W",1495.85111272495,-4.40446121976229,0.496756973510723,-8.86643057798406,7.55279943924572e-19,1.73653722046915e-17
"YPR193C",96.1904818061223,-4.38385377807411,0.6943848652985,-6.31329108273349,2.73163006475512e-10,1.82081234401617e-09
"YDL085W",687.789211512048,-4.3834281457053,0.598546444108027,-7.32345532891374,2.41666065288103e-13,2.52932033596781e-12
"YEL070W",16.2220128114281,-4.37866108356493,1.27047679987825,-3.4464707139749,0.000567960121021696,0.00147664472881435
"YLR133W",452.439977904818,-4.3695069282556,0.468345877316697,-9.32965814344284,1.06212925194788e-20,3.10239284051102e-19
"YNL195C",1367.19770620292,-4.36731381697265,0.735414186919185,-5.9385770558334,2.87506514170069e-09,1.63353950425822e-08
"YGL156W",2497.05015465261,-4.34764523720963,0.543203173956585,-8.00371839792879,1.20717283164045e-15,1.81392768008965e-14
"YNR001C",5096.69746735327,-4.34426619712829,0.418404027141123,-10.3829454673557,2.9648397675315e-25,1.61654358753503e-23
"YIL136W",6335.63985130275,-4.33914928867939,0.512197526745879,-8.47163264580193,2.41977224098334e-17,4.52425837991121e-16
"YER121W",196.531427947897,-4.31896908027438,0.63250337496312,-6.82837317749682,8.58829442370805e-12,7.09494741352505e-11
"YJR095W",878.761207388009,-4.31394635101246,0.575502985569511,-7.49595824727724,6.58157408316923e-14,7.58139066924424e-13
"YEL066W",132.294071271117,-4.29720426948173,0.638224242314755,-6.73306337267343,1.66127660646231e-11,1.33204601848694e-10
"YLR149C",1165.21453386596,-4.2946134727035,0.53093639622336,-8.08875319765571,6.02785721157191e-16,9.61266923015298e-15
"YDR343C",1001.51066366732,-4.29378758519856,0.429992420315333,-9.98572854388859,1.7600334047396e-23,7.63347821373805e-22
"YFR053C",3128.67553326555,-4.29045371994993,0.576811594845398,-7.43822377755754,1.02048088689468e-13,1.14106505419375e-12
"YOL032W",851.562014705049,-4.28682237753199,0.479390529176491,-8.94223418409203,3.81380335525794e-19,9.05976108251109e-18
"YER065C",3294.64835480763,-4.28418091697838,0.610521047847042,-7.01725342981415,2.26271977292265e-12,2.04931207391867e-11
"YNL014W",962.964974737885,-4.27005000596243,0.744363760560458,-5.73650979831065,9.66474611159779e-09,5.11374043335466e-08
"YDL130W-A",1481.5998215144,-4.26144693791231,0.451615746873524,-9.43600166161996,3.87276060882844e-21,1.19201905836252e-19
"YGR248W",930.390965781812,-4.2585469248712,0.513795158831431,-8.28841387792907,1.14768617438637e-16,1.96721657136585e-15
"YPR030W",1656.56599843429,-4.25629907033793,0.498850283874903,-8.53221739652309,1.43568939862788e-17,2.75816168024987e-16
"YER084W",236.414734786701,-4.2519026964883,1.74988631814179,-2.42981652716927,0.0151064678045251,0.0291488130033388
"YKR076W",665.555736468817,-4.24480738035655,0.489925471574011,-8.66419001796134,4.54734382230436e-18,9.16674062770861e-17
"YOL153C",452.469093262259,-4.23686315747974,0.515254617701156,-8.22285334653147,1.98717770066487e-16,3.29756299603084e-15
"YBR214W",1584.25532472604,-4.23310149089157,0.448550860440161,-9.43728318063562,3.82569993796997e-21,1.18389903485827e-19
"YLR411W",693.607398212398,-4.23020358539469,0.454802795845584,-9.30118201566849,1.38892892159597e-20,3.97580903806846e-19
"YMR084W",314.816884324617,-4.22720811159801,0.709362784502694,-5.95916251028243,2.53533877876028e-09,1.45148145084026e-08
"YGL227W",494.917773451528,-4.22011147954386,0.478899075074213,-8.81211031549786,1.22811679956315e-18,2.69709012396411e-17
"YFR015C",888.37918922361,-4.21092821481877,0.43388383377311,-9.70519730638495,2.86521410417119e-22,1.05149684271667e-20
"YOL083W",973.93545135227,-4.21026040186993,0.654279877913475,-6.43495321191386,1.23511370339835e-10,8.75056523827069e-10
"YOR100C",1052.30923150695,-4.20846141117762,0.548705815642175,-7.66979552832381,1.72270747521874e-14,2.20145095884538e-13
