"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIL079C",351.114412300313,5.18797224786399,0.471200111821001,11.0101252476671,3.41528605386342e-28,2.67842639155727e-26
"YJL069C",727.981870812792,5.18527601959764,0.43586185809487,11.8966042182774,1.23261465128151e-32,1.53406932143188e-30
"YDR449C",839.821957390498,5.18239562474897,0.432405054251717,11.9850486801483,4.25594262786234e-33,5.66634221965394e-31
"YOR047C",204.694301095387,5.16199633065697,0.521106343705938,9.90584051221972,3.92654369658925e-23,1.57199039601213e-21
"YHR196W",1196.4171368993,5.16151008632108,0.414797454296765,12.4434468747446,1.51808626002988e-35,2.3489307672084e-33
"YGL029W",806.988800396972,5.15306895802194,0.508327506152711,10.1373010424383,3.77382098818645e-24,1.78554753366673e-22
"YGL120C",1322.96168505794,5.14151505878567,0.45567986674348,11.2831736357578,1.5890778514276e-29,1.44404296816238e-27
"YPR060C",422.800023197489,5.11528767413154,0.486780833650091,10.5083999215313,7.90228760577657e-26,4.66397902505885e-24
"YKL068W-A",235.252288954014,5.1103768273784,0.496868470844693,10.2851702759295,8.21966592525357e-25,4.1278585457962e-23
"YLL035W",158.353481503098,5.10175398631525,0.563808127799199,9.04874146853777,1.44625550865394e-19,3.59991860306252e-18
"YLR224W",721.603345477039,5.10000357781152,0.428047194260824,11.9145824250022,9.9362734813342e-33,1.26411479290307e-30
"YNL124W",792.811557253532,5.08807465486492,0.478463297878351,10.6342005278711,2.06592900959961e-26,1.31416039777309e-24
"YNCC0011W",10.7389210634061,5.08351413443358,1.36445524101985,3.7256730610188,0.000194794751057648,0.000550988117492605
"YPL030W",463.087378838417,5.04752112562746,0.465906870019791,10.8337555215982,2.38181850057726e-27,1.66291596534205e-25
"YBR187W",833.52277482705,5.04272855106064,0.499369873927196,10.0981833593667,5.62749725306198e-24,2.59817917530483e-22
"YML080W",288.424203281434,5.03219278691127,0.486089109525634,10.3524080015331,4.08090426691324e-25,2.18347447925965e-23
"YPL245W",404.141275716119,4.99803597178833,0.523665632236252,9.54432688363529,1.36994323754258e-21,4.48167144853216e-20
"YGL009C",5119.15564297481,4.96064150161503,0.518793826997511,9.56187457033644,1.15642788124661e-21,3.8491567558935e-20
"YNL075W",802.765240793416,4.9582803707624,0.434186385824214,11.4197048379352,3.3336418937157e-30,3.34826313009165e-28
"YJL190C",4299.82502064097,4.93050297306285,0.5854172032485,8.42220376460295,3.69467749773597e-17,6.75783663723273e-16
"YHR167W",88.9322895975069,4.92626048579148,0.59429158542672,8.28929873246358,1.13918103253172e-16,1.95850192529853e-15
"YBR105C",2415.36000625137,4.92242033354371,0.420966718829666,11.6931341917684,1.38190984722895e-31,1.58228677507715e-29
"YGR128C",840.556607841222,4.91198337573367,0.427647399555862,11.486059264794,1.55023632995086e-30,1.64353759054976e-28
"YOR004W",599.772923089917,4.87455893972765,0.435795303771682,11.1854324668939,4.80556864273512e-29,4.16846673934221e-27
"YKR024C",642.198211094382,4.8383808232508,0.461551104582541,10.4828712903351,1.03551246128337e-25,5.98819074833061e-24
"YPL211W",929.449446676912,4.83051906917907,0.469713841435553,10.2839615166883,8.32344754962804e-25,4.14362932361918e-23
"YJR097W",266.590898971624,4.82434322932976,0.477828449913173,10.0963917703234,5.7312239221106e-24,2.62490055632666e-22
"YCL036W",482.056818077807,4.82329412220493,0.462953148288688,10.4185361737668,2.04069790662134e-25,1.13427140926283e-23
"YHR208W",5098.22092349121,4.82286048007801,0.443971201211216,10.8630029761403,1.72965982149056e-27,1.23778780975418e-25
"YBR175W",90.7139483307489,4.79051074816141,0.594289429212401,8.06090519649687,7.57315465424968e-16,1.18137085546538e-14
"YGL162W",99.9910259958065,4.77491443877364,0.585154112840837,8.16009720173056,3.34755089517267e-16,5.47563682138958e-15
"YPL081W",1679.57534509032,4.76037042046312,0.42919722770577,11.0913354354808,1.38208909256111e-28,1.14673334129164e-26
"YDR321W",470.297080262125,4.75916304312531,0.461996076519773,10.301306190685,6.9510964758986e-25,3.55312743968924e-23
"YAL012W",1372.7210774786,4.74712481683783,0.444842672236003,10.671469067876,1.38420372544365e-26,9.10869692892514e-25
"YBL081W",355.519627953467,4.72288828863009,0.458350957763565,10.3040873126447,6.75296236910641e-25,3.48294680748957e-23
"YIL118W",639.642396635384,4.69189197104955,0.483625392779499,9.70150046109913,2.97096896581917e-22,1.07650616008321e-20
